,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,customer_percentage_by_state,total_charge,total_calls,total_minutes,day_charge_per_call,eve_charge_per_call,night_charge_per_call,intl_charge_per_call,day_call_length_per_call,eve_call_length_per_call,night_call_length_per_call,intl_call_length_per_call,day_charge_per_min,eve_charge_per_min,night_charge_per_min,intl_charge_per_min,day_charge_percentage,eve_charge_percentage,night_charge_percentage,intl_charge_percentage
1644,WV,124,510,0,0,0,184.8,74,31.42,175.1,84,14.88,158.2,95,7.12,10.5,6,2.84,1,0,0.01,56.0,259.0,529.0,0.425,0.177,0.075,0.473,2.497,2.085,1.665,1.75,0.17,0.085,0.045,0.27,0.561,0.266,0.127,0.051
1645,CT,95,415,0,1,36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05,3,0,0.02,87.0,330.0,842.0,0.43,0.283,0.091,1.017,2.528,3.328,2.029,3.767,0.17,0.085,0.045,0.27,0.553,0.28,0.135,0.035
1646,MN,173,510,0,0,0,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67,0,1,0.032,77.0,398.0,667.0,0.347,0.136,0.057,1.335,2.041,1.599,1.271,4.95,0.17,0.085,0.045,0.27,0.644,0.237,0.088,0.035
1647,MO,110,408,0,0,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,0,0.034,60.0,274.0,557.0,0.403,0.092,0.124,0.912,2.369,1.08,2.754,3.375,0.17,0.085,0.045,0.27,0.631,0.15,0.161,0.061
1648,VA,102,510,0,0,0,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,0,0,0.048,64.0,330.0,690.0,0.376,0.148,0.111,0.46,2.209,1.741,2.458,1.7,0.17,0.085,0.045,0.271,0.464,0.315,0.19,0.036
1649,NH,130,408,0,0,0,68.4,86,11.63,193.3,110,16.43,171.5,139,7.72,10.4,4,2.81,0,0,0.008,39.0,339.0,444.0,0.135,0.149,0.056,0.702,0.795,1.757,1.234,2.6,0.17,0.085,0.045,0.27,0.298,0.421,0.198,0.072
1650,OK,91,408,0,1,31,273.0,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,1,0,0.022,72.0,292.0,603.0,0.595,0.187,0.041,1.295,3.5,2.199,0.918,4.8,0.17,0.085,0.045,0.27,0.645,0.254,0.065,0.036
1651,CT,64,415,1,0,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,1,1,0.02,58.0,362.0,490.0,0.286,0.106,0.048,0.519,1.681,1.244,1.058,1.922,0.17,0.085,0.045,0.27,0.66,0.159,0.108,0.081
1652,TN,176,415,0,1,23,283.2,130,48.14,162.6,74,13.82,177.7,104,8.0,7.2,6,1.94,1,0,0.038,72.0,314.0,631.0,0.37,0.187,0.077,0.323,2.178,2.197,1.709,1.2,0.17,0.085,0.045,0.269,0.669,0.192,0.111,0.027
1653,MD,93,510,1,0,0,131.4,78,22.34,219.7,106,18.67,155.7,103,7.01,11.1,2,3.0,1,1,0.034,51.0,289.0,518.0,0.286,0.176,0.068,1.5,1.685,2.073,1.512,5.55,0.17,0.085,0.045,0.27,0.438,0.366,0.137,0.059
1654,WI,84,510,0,1,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1,0,0.033,37.0,276.0,405.0,0.175,0.161,0.065,1.445,1.031,1.899,1.454,5.35,0.17,0.085,0.045,0.27,0.412,0.318,0.202,0.078
1655,SD,138,510,0,0,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5.0,3,1.35,3,0,0.005,53.0,286.0,588.0,0.212,0.199,0.125,0.45,1.246,2.337,2.769,1.667,0.17,0.085,0.045,0.27,0.408,0.397,0.176,0.025
1656,ND,101,415,0,1,28,105.9,132,18.0,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,1,0,0.004,53.0,364.0,630.0,0.136,0.184,0.105,0.578,0.802,2.165,2.344,2.14,0.17,0.085,0.045,0.27,0.34,0.372,0.239,0.055
1657,VA,136,408,0,0,0,142.3,79,24.19,158.0,113,13.43,177.5,75,7.99,6.0,11,1.62,2,0,0.048,47.0,278.0,484.0,0.306,0.119,0.107,0.147,1.801,1.398,2.367,0.545,0.17,0.085,0.045,0.27,0.515,0.286,0.17,0.034
1658,UT,111,510,0,0,0,191.3,80,32.52,138.5,94,11.77,246.0,107,11.07,6.4,3,1.73,2,0,0.018,57.0,284.0,582.0,0.406,0.125,0.103,0.577,2.391,1.473,2.299,2.133,0.17,0.085,0.045,0.27,0.571,0.206,0.194,0.03
1659,MA,132,408,0,1,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,0,0.039,57.0,265.0,503.0,0.369,0.177,0.064,0.74,2.171,2.084,1.427,2.74,0.17,0.085,0.045,0.27,0.602,0.233,0.104,0.065
1660,SD,128,415,0,0,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,0,0.005,68.0,265.0,588.0,0.462,0.259,0.057,1.985,2.718,3.045,1.279,7.35,0.17,0.085,0.045,0.27,0.618,0.228,0.095,0.058
1661,AL,92,408,0,1,38,242.2,96,41.17,159.7,144,13.57,210.0,108,9.45,8.9,1,2.4,1,0,0.028,67.0,349.0,621.0,0.429,0.094,0.087,2.4,2.523,1.109,1.944,8.9,0.17,0.085,0.045,0.27,0.614,0.203,0.141,0.036
1662,AL,197,415,1,0,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5,1,0.028,52.0,295.0,537.0,0.27,0.164,0.082,0.74,1.591,1.933,1.831,2.74,0.17,0.085,0.045,0.27,0.416,0.363,0.151,0.071
1663,WV,191,408,0,0,0,162.0,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,0,0.01,60.0,314.0,624.0,0.265,0.171,0.114,0.42,1.558,2.01,2.535,1.557,0.17,0.085,0.045,0.27,0.459,0.342,0.158,0.049
1664,SC,99,415,0,1,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2,0,0.029,61.0,292.0,594.0,0.327,0.199,0.078,2.86,1.926,2.336,1.726,10.6,0.17,0.085,0.045,0.27,0.499,0.332,0.122,0.047
1665,FL,106,415,0,1,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,0,0.12,53.0,340.0,449.0,0.268,0.095,0.051,0.83,1.579,1.122,1.145,3.075,0.17,0.085,0.045,0.27,0.633,0.198,0.098,0.063
1666,KY,88,415,0,0,0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2,0,0.025,64.0,232.0,699.0,0.307,0.392,0.134,0.432,1.807,4.607,2.98,1.6,0.17,0.085,0.045,0.27,0.394,0.41,0.165,0.027
1667,UT,78,415,0,0,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0,0,0.018,56.0,310.0,505.0,0.386,0.139,0.049,2.75,2.272,1.639,1.089,10.2,0.17,0.085,0.045,0.27,0.586,0.261,0.104,0.049
1668,NY,98,408,0,0,0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,1,0,0.109,55.0,322.0,544.0,0.295,0.171,0.066,0.352,1.734,2.009,1.458,1.3,0.17,0.085,0.045,0.271,0.531,0.27,0.155,0.038
1669,MS,17,408,0,1,35,198.5,123,33.75,270.6,74,23.0,209.9,130,9.45,8.1,10,2.19,1,0,0.017,68.0,337.0,687.0,0.274,0.311,0.073,0.219,1.614,3.657,1.615,0.81,0.17,0.085,0.045,0.27,0.496,0.338,0.139,0.032
1670,NH,56,415,0,1,24,121.7,87,20.69,184.0,76,15.64,266.6,98,12.0,12.7,3,3.43,1,0,0.008,52.0,264.0,585.0,0.238,0.206,0.122,1.143,1.399,2.421,2.72,4.233,0.17,0.085,0.045,0.27,0.398,0.301,0.231,0.066
1671,VA,84,415,0,0,0,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,0,0.048,63.0,245.0,728.0,0.211,0.394,0.186,0.63,1.24,4.633,4.127,2.333,0.17,0.085,0.045,0.27,0.351,0.375,0.218,0.06
1672,VT,95,510,0,0,0,203.4,96,34.58,168.6,61,14.33,173.0,105,7.79,13.7,3,3.7,2,0,0.004,60.0,265.0,559.0,0.36,0.235,0.074,1.233,2.119,2.764,1.648,4.567,0.17,0.085,0.045,0.27,0.576,0.239,0.13,0.062
1673,WY,16,415,0,0,0,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5,0,0.003,64.0,293.0,638.0,0.358,0.196,0.097,0.355,2.105,2.302,2.146,1.312,0.17,0.085,0.045,0.27,0.464,0.373,0.121,0.044
1674,NV,76,510,1,0,0,241.0,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,1,0.017,73.0,284.0,703.0,0.341,0.205,0.148,2.67,2.008,2.415,3.287,9.9,0.17,0.085,0.045,0.27,0.561,0.27,0.136,0.037
1675,WV,93,415,0,0,0,141.7,95,24.09,221.0,100,18.79,227.1,71,10.22,10.2,3,2.75,0,0,0.01,56.0,269.0,600.0,0.254,0.188,0.144,0.917,1.492,2.21,3.199,3.4,0.17,0.085,0.045,0.27,0.43,0.336,0.182,0.049
1676,WA,83,408,0,0,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,0,0.043,46.0,302.0,471.0,0.239,0.182,0.059,0.416,1.404,2.144,1.313,1.54,0.17,0.085,0.045,0.27,0.498,0.309,0.158,0.045
1677,KS,123,415,0,0,0,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9.0,10,2.43,1,0,0.016,59.0,257.0,590.0,0.233,0.416,0.098,0.243,1.371,4.89,2.184,0.9,0.17,0.085,0.045,0.27,0.47,0.359,0.128,0.041
1678,VT,64,408,0,0,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,0,0.004,59.0,325.0,656.0,0.213,0.176,0.135,0.3,1.254,2.076,3.004,1.112,0.17,0.085,0.045,0.27,0.419,0.329,0.208,0.041
1679,OK,82,510,0,0,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0,1,0.022,89.0,301.0,816.0,0.768,0.148,0.118,0.477,4.518,1.736,2.619,1.767,0.17,0.085,0.045,0.27,0.63,0.199,0.135,0.032
1680,GA,107,510,0,0,0,194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43,2,0,0.06,60.0,335.0,572.0,0.341,0.121,0.076,3.43,2.005,1.422,1.682,12.7,0.17,0.085,0.045,0.27,0.551,0.264,0.134,0.057
1681,CO,110,510,0,0,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1,0,0.032,56.0,308.0,605.0,0.241,0.219,0.083,0.48,1.418,2.573,1.836,1.775,0.17,0.085,0.045,0.27,0.4,0.414,0.155,0.034
1682,AK,96,408,0,1,29,150.0,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1,0,0.004,52.0,224.0,546.0,0.28,0.181,0.187,0.767,1.648,2.125,4.147,2.833,0.17,0.085,0.045,0.271,0.49,0.261,0.197,0.044
1683,TN,47,415,0,1,30,196.6,93,33.42,241.4,140,20.52,226.0,118,10.17,12.9,4,3.48,2,0,0.038,68.0,355.0,677.0,0.359,0.147,0.086,0.87,2.114,1.724,1.915,3.225,0.17,0.085,0.045,0.27,0.491,0.302,0.15,0.051
1684,KY,115,510,0,0,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,0,0.025,40.0,306.0,408.0,0.158,0.128,0.068,0.952,0.932,1.511,1.509,3.525,0.17,0.085,0.045,0.27,0.424,0.308,0.168,0.095
1685,PA,69,415,0,0,0,143.6,88,24.41,141.8,86,12.05,194.0,83,8.73,10.8,5,2.92,3,0,0.071,48.0,262.0,490.0,0.277,0.14,0.105,0.584,1.632,1.649,2.337,2.16,0.17,0.085,0.045,0.27,0.509,0.251,0.182,0.061
1686,CT,163,408,0,1,40,231.9,56,39.42,211.8,91,18.0,268.5,74,12.08,12.3,3,3.32,2,0,0.02,73.0,224.0,724.0,0.704,0.198,0.163,1.107,4.141,2.327,3.628,4.1,0.17,0.085,0.045,0.27,0.54,0.247,0.165,0.045
1687,CT,90,415,0,0,0,37.8,80,6.43,155.3,105,13.2,175.0,111,7.88,14.2,5,3.83,3,0,0.02,31.0,301.0,382.0,0.08,0.126,0.071,0.766,0.472,1.479,1.577,2.84,0.17,0.085,0.045,0.27,0.207,0.426,0.254,0.124
1688,MN,98,415,0,0,0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3,0,0.032,39.0,324.0,445.0,0.116,0.154,0.072,0.71,0.68,1.81,1.594,2.625,0.17,0.085,0.045,0.27,0.317,0.406,0.202,0.073
1689,WY,90,408,0,1,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1,0,0.003,47.0,250.0,523.0,0.181,0.205,0.137,0.616,1.065,2.408,3.037,2.28,0.17,0.085,0.045,0.27,0.343,0.396,0.189,0.066
1690,PA,174,415,0,1,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1,0,0.071,69.0,376.0,667.0,0.264,0.156,0.092,0.372,1.551,1.831,2.035,1.378,0.17,0.085,0.045,0.27,0.547,0.259,0.145,0.049
1691,OR,95,415,0,0,0,269.0,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,1,0.024,76.0,305.0,689.0,0.381,0.165,0.132,0.492,2.242,1.947,2.939,1.825,0.17,0.085,0.045,0.27,0.602,0.261,0.106,0.026
1692,PA,79,415,0,0,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1,1,0.071,75.0,320.0,725.0,0.4,0.142,0.135,0.243,2.354,1.671,3.007,0.9,0.17,0.085,0.045,0.27,0.608,0.21,0.159,0.023
1693,OK,123,415,0,1,27,198.7,127,33.78,249.0,105,21.17,173.2,124,7.79,12.5,5,3.38,1,0,0.022,66.0,361.0,633.0,0.266,0.202,0.063,0.676,1.565,2.371,1.397,2.5,0.17,0.085,0.045,0.27,0.512,0.321,0.118,0.051
1694,VT,99,415,0,0,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,1,0.004,53.0,291.0,600.0,0.262,0.167,0.117,0.444,1.54,1.965,2.601,1.643,0.17,0.085,0.045,0.27,0.371,0.35,0.216,0.059
1695,ID,114,415,0,0,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,0,0.01,68.0,327.0,703.0,0.344,0.163,0.109,0.718,2.021,1.919,2.432,2.66,0.17,0.085,0.045,0.27,0.505,0.245,0.193,0.053
1696,PA,141,510,0,0,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,0,0.071,64.0,307.0,582.0,0.324,0.21,0.065,0.558,1.908,2.477,1.437,2.067,0.17,0.085,0.045,0.27,0.573,0.266,0.108,0.052
1697,NM,132,408,0,0,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1,0,0.012,59.0,309.0,597.0,0.27,0.147,0.117,1.555,1.588,1.731,2.609,5.75,0.17,0.085,0.045,0.27,0.489,0.302,0.157,0.053
1698,FL,133,510,0,0,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6.0,4,1.62,0,0,0.12,63.0,285.0,663.0,0.403,0.124,0.161,0.405,2.373,1.46,3.579,1.5,0.17,0.085,0.045,0.27,0.544,0.229,0.204,0.026
1699,TX,133,408,0,0,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,0,0.163,61.0,360.0,551.0,0.283,0.097,0.087,0.757,1.662,1.144,1.926,2.8,0.17,0.085,0.045,0.27,0.616,0.223,0.119,0.037
1700,VT,93,510,0,1,32,218.7,117,37.18,115.0,61,9.78,192.7,85,8.67,9.4,5,2.54,2,0,0.004,58.0,268.0,536.0,0.318,0.16,0.102,0.508,1.869,1.885,2.267,1.88,0.17,0.085,0.045,0.27,0.641,0.169,0.149,0.044
1701,MA,34,415,0,0,0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11.0,10,2.97,2,1,0.039,84.0,246.0,755.0,0.561,0.326,0.106,0.297,3.3,3.838,2.345,1.1,0.17,0.085,0.045,0.27,0.594,0.276,0.095,0.035
1702,OR,140,415,0,0,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,1,0.024,53.0,269.0,585.0,0.189,0.243,0.132,0.693,1.114,2.862,2.924,2.567,0.17,0.085,0.045,0.27,0.386,0.385,0.184,0.039
1703,DE,96,415,0,1,26,175.8,96,29.89,206.6,84,17.56,178.0,105,8.01,11.1,2,3.0,2,0,0.005,58.0,287.0,572.0,0.311,0.209,0.076,1.5,1.831,2.46,1.695,5.55,0.17,0.085,0.045,0.27,0.515,0.303,0.138,0.052
1704,FL,144,510,0,0,0,278.5,95,47.35,240.7,90,20.46,120.0,90,5.4,11.6,5,3.13,1,1,0.12,76.0,280.0,651.0,0.498,0.227,0.06,0.626,2.932,2.674,1.333,2.32,0.17,0.085,0.045,0.27,0.623,0.269,0.071,0.041
1705,ID,24,408,0,1,29,236.3,105,40.17,190.8,114,16.22,129.0,105,5.81,7.2,2,1.94,3,0,0.01,64.0,326.0,563.0,0.383,0.142,0.055,0.97,2.25,1.674,1.229,3.6,0.17,0.085,0.045,0.269,0.628,0.253,0.091,0.03
1706,MD,54,415,0,0,0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,0,0.034,72.0,389.0,673.0,0.412,0.065,0.103,1.053,2.423,0.767,2.287,3.9,0.17,0.085,0.045,0.27,0.647,0.141,0.167,0.044
1707,WV,50,408,0,0,0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5,1,0.01,47.0,320.0,504.0,0.173,0.145,0.106,0.168,1.016,1.707,2.351,0.622,0.17,0.085,0.045,0.27,0.474,0.29,0.198,0.032
1708,ID,92,415,0,1,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,0,0.01,59.0,325.0,554.0,0.343,0.17,0.048,1.007,2.017,2.005,1.058,3.733,0.17,0.085,0.045,0.27,0.482,0.373,0.089,0.051
1709,NV,96,408,0,0,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,0,0.017,66.0,191.0,640.0,0.494,0.402,0.122,0.947,2.907,4.726,2.704,3.5,0.17,0.085,0.045,0.27,0.509,0.323,0.123,0.043
1710,OH,146,415,0,0,0,169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9.0,7,2.43,2,0,0.065,63.0,286.0,679.0,0.31,0.276,0.106,0.347,1.823,3.252,2.346,1.286,0.17,0.085,0.045,0.27,0.457,0.312,0.193,0.039
1711,ID,138,415,1,1,17,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,11.7,4,3.16,0,0,0.01,63.0,307.0,556.0,0.33,0.167,0.066,0.79,1.941,1.97,1.473,2.925,0.17,0.085,0.045,0.27,0.608,0.234,0.104,0.05
1712,SC,102,408,0,0,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,0,0.029,58.0,308.0,563.0,0.406,0.159,0.064,0.556,2.39,1.875,1.42,2.06,0.17,0.085,0.045,0.27,0.512,0.313,0.128,0.048
1713,MO,76,510,0,0,0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5,1,0.034,49.0,254.0,544.0,0.262,0.189,0.118,0.677,1.544,2.219,2.631,2.5,0.17,0.085,0.045,0.271,0.45,0.308,0.21,0.041
1714,NE,99,415,0,0,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,0,0.011,57.0,254.0,553.0,0.515,0.088,0.128,1.54,3.03,1.037,2.85,5.7,0.17,0.085,0.045,0.27,0.596,0.161,0.185,0.054
1715,NC,83,510,0,1,36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0,0,0.059,52.0,305.0,599.0,0.187,0.212,0.094,0.897,1.102,2.491,2.097,3.325,0.17,0.085,0.045,0.27,0.313,0.428,0.198,0.069
1716,ME,36,510,0,1,25,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,1,0,0.008,56.0,253.0,552.0,0.236,0.308,0.09,1.23,1.389,3.624,1.992,4.55,0.17,0.085,0.045,0.27,0.464,0.369,0.118,0.044
1717,MI,70,510,0,0,0,129.9,102,22.08,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,1,0,0.056,54.0,331.0,584.0,0.216,0.133,0.112,1.287,1.274,1.569,2.488,4.767,0.17,0.085,0.045,0.27,0.409,0.329,0.193,0.071
1718,AZ,109,415,1,0,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2,1,0.041,74.0,308.0,727.0,0.537,0.098,0.16,0.327,3.158,1.15,3.546,1.212,0.17,0.085,0.045,0.27,0.617,0.173,0.181,0.035
1719,AZ,100,415,0,0,0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2,0,0.041,57.0,360.0,532.0,0.211,0.11,0.092,0.82,1.24,1.29,2.043,3.04,0.17,0.085,0.045,0.27,0.562,0.221,0.142,0.072
1720,HI,104,408,0,0,0,170.6,97,29.0,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65,1,0,0.008,54.0,340.0,550.0,0.299,0.124,0.072,1.65,1.759,1.46,1.608,6.1,0.17,0.085,0.045,0.27,0.537,0.255,0.176,0.031
1721,NJ,106,415,0,0,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1,0,0.05,62.0,319.0,630.0,0.262,0.147,0.136,0.737,1.544,1.73,3.028,2.733,0.17,0.085,0.045,0.27,0.525,0.275,0.167,0.036
1722,MS,84,510,0,0,0,75.3,96,12.8,179.9,113,15.29,193.8,134,8.72,12.3,1,3.32,1,0,0.017,40.0,344.0,461.0,0.133,0.135,0.065,3.32,0.784,1.592,1.446,12.3,0.17,0.085,0.045,0.27,0.32,0.382,0.218,0.083
1723,MA,80,510,0,0,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2,0,0.039,63.0,280.0,678.0,0.207,0.313,0.145,0.42,1.218,3.684,3.219,1.557,0.17,0.085,0.045,0.27,0.404,0.373,0.172,0.047
1724,SC,100,510,0,0,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,0,0.029,39.0,224.0,404.0,0.226,0.169,0.099,0.48,1.332,1.987,2.21,1.775,0.17,0.085,0.045,0.27,0.505,0.243,0.196,0.049
1725,MN,99,408,0,0,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2,0,0.032,56.0,326.0,629.0,0.255,0.165,0.097,0.952,1.498,1.942,2.157,3.525,0.17,0.085,0.045,0.27,0.391,0.309,0.227,0.068
1726,WV,50,510,0,0,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11.0,5,2.97,1,0,0.01,53.0,342.0,555.0,0.207,0.179,0.07,0.594,1.219,2.102,1.556,2.2,0.17,0.085,0.045,0.27,0.422,0.347,0.166,0.056
1727,MS,105,415,0,0,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,0,0.017,46.0,222.0,532.0,0.359,0.114,0.22,1.645,2.112,1.337,4.891,6.1,0.17,0.085,0.045,0.27,0.375,0.294,0.253,0.072
1728,VA,113,415,0,1,23,149.0,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,0,0.048,57.0,252.0,596.0,0.244,0.299,0.119,0.514,1.433,3.519,2.655,1.9,0.17,0.085,0.045,0.271,0.444,0.352,0.159,0.045
1729,MS,111,415,0,1,36,96.8,123,16.46,170.6,105,14.5,166.0,85,7.47,13.4,4,3.62,2,0,0.017,42.0,317.0,447.0,0.134,0.138,0.088,0.905,0.787,1.625,1.953,3.35,0.17,0.085,0.045,0.27,0.392,0.345,0.178,0.086
1730,NM,161,408,0,0,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,0,0.012,55.0,301.0,624.0,0.151,0.474,0.085,1.133,0.888,5.574,1.887,4.2,0.17,0.085,0.045,0.27,0.332,0.396,0.202,0.062
1731,TX,70,415,0,0,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,0,1,0.163,80.0,317.0,805.0,0.417,0.232,0.111,0.497,2.451,2.733,2.458,1.843,0.17,0.085,0.045,0.27,0.495,0.322,0.144,0.043
1732,HI,97,415,0,1,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,0,0.008,55.0,325.0,612.0,0.196,0.192,0.1,0.448,1.153,2.263,2.224,1.66,0.17,0.085,0.045,0.27,0.374,0.402,0.182,0.041
1733,WA,130,510,0,0,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0,0,0.043,56.0,258.0,638.0,0.302,0.232,0.13,0.158,1.776,2.734,2.886,0.583,0.17,0.085,0.045,0.271,0.377,0.411,0.192,0.017
1734,WI,92,415,0,0,0,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73,1,0,0.033,66.0,303.0,687.0,0.265,0.254,0.099,1.243,1.561,2.986,2.191,4.6,0.17,0.085,0.045,0.27,0.406,0.385,0.148,0.057
1735,CO,119,408,0,0,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4.0,0,0,0.032,50.0,250.0,504.0,0.311,0.2,0.076,4.0,1.828,2.353,1.692,14.8,0.17,0.085,0.045,0.27,0.423,0.352,0.142,0.08
1736,NV,115,415,0,0,0,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,1,1,0.017,77.0,346.0,690.0,0.39,0.236,0.061,0.31,2.291,2.78,1.357,1.15,0.17,0.085,0.045,0.27,0.632,0.227,0.112,0.024
1737,RI,134,415,0,0,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0,0,0.006,54.0,262.0,575.0,0.254,0.173,0.164,0.397,1.492,2.036,3.642,1.467,0.17,0.085,0.045,0.27,0.446,0.324,0.182,0.044
1738,VA,127,408,0,1,25,173.0,91,29.41,245.8,64,20.89,300.0,99,13.5,4.8,3,1.3,0,0,0.048,65.0,257.0,724.0,0.323,0.326,0.136,0.433,1.901,3.841,3.03,1.6,0.17,0.085,0.045,0.271,0.452,0.321,0.208,0.02
1739,NJ,80,415,0,0,0,268.7,120,45.68,301.0,147,25.59,167.0,140,7.52,5.8,1,1.57,2,1,0.05,80.0,408.0,742.0,0.381,0.174,0.054,1.57,2.239,2.048,1.193,5.8,0.17,0.085,0.045,0.271,0.571,0.32,0.094,0.02
1740,ND,153,415,0,1,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,0,0.004,56.0,344.0,481.0,0.286,0.111,0.051,0.423,1.681,1.303,1.132,1.567,0.17,0.085,0.045,0.27,0.663,0.204,0.096,0.045
